Response One,Response Two
"its 2nd of may 1992","july 24 1991"
"cvvfd","xcds"
"08/07/1980","xcds"
"june 4 1994","01/06/1978"
"april 3rd, 1966","04/03/1985"
"bye bye i don't know","03051969"
"december 17 1959","01/01/01"
"12/01/1989","march 31st, 1984"
"10/01/97","1st july 1994"
"07/05/1978","01.01.1981"
"12/08/1990","30/05/1987"
"july 17, 1983","september 1, 1985"
"april 3rd, 1966","1984/feb"
"02/21/1986","1990"
"are you open for business?","27-05-1995"
"07/dec/1987","june 12 1988"
"9/12/84","april,1,1993"
"27, august, 1995","03/20/1997"
"05/23/1990","april 3rd, 1966"
"july 17, 1983","c"
"july 8 1990","28 of may 1986"
"january 2nd","july 24 1991"
"july 17, 1983","10/27/96"
"27, august, 1995","08/07/1980"
"23","december 17 1959"
"jan 20 1993","april 1 1970"
"march 14","4/18/1988"
"07/05/1978","6th may"
"14/9/1990","june 30 1991"
"23","14-sep-1990"
"4/10/1993","23 september 1990"
"06/24/1988","1994"
"01/21/1981","01 sep 1976"
"26/11/1991","14-sep-1990"
"28/04/1995","april 3rd, 1966"
"julu 3rd 1993","07/20/92"
"3/4/88","1995"
"5-2-1995","16th of december, 1990"
"16/08/1990","25-05-1995"
"01 sep 1976","15th april 1980"
"bye bye i don't know","5/16/2007"
"06/24/1988","9/12/84"
"15 feb 1996","23/06/1979"
"1/1/71","20/11/1995"
"feb 19 1963","01-09-1976"
"23/06/1979","01/02/92"
"01/01/1990","cvvfd"
"01/30/75","july 8 1990"
"01 sep 1976","10/23/74"
"july 3rd 1993","26 november"
"23-9-1995","30/05/1987"
"01/01/1965","26 november"
"10/1/1984","02/13/1995"
"01/02/1995","03051969"
"1/1/1901","6th may 2000"
"01 sep 1976","1st july 1994"
"jan 20 1993","april 1 1970"
"january 1st 1990","ok"
"12/01/1989","july 3rd 1993"
"can you please help.","bye bye i don't know"
"its 2nd of may 1992","cvvfd"
"27/12/1986","10/1/1984"
"20/01/1993","august 15 1990"
"ok","16-05-1987"
"03/22/1989","1984/feb"
"07/05/1978","june 4 1994"
"6th may 2000","nov 1983"
"01 sep 1976","05/30/1987"
"can you please help.","1/1/1980"
"jan 20 1993","03051969"
"13 mar 77","6th may"
"23/06/1979","10/27/96"
"1994","december 17 1959"
"04-05-1992","10/1/1984"
"05231990","1987"
"12/12/1995","jan 1 1977"
"january 1, 1990","3/4/88"
"1/1/90","6 may 2000"
"28/04/1995","july 24 1991"
"august","7th of july 1984"
"12/22/1980","28 of may 1986"
"12/27/1986","january 1, 1995"
"6th may 2000","01.04.1993"
"05231990","12/08/1990"
"12/01/1989","xxf"
"6/12/1984","25.05.1995"
"01-09-1976","05-23-1992"
"julu 3rd 1993","12/08/1990"
"23/06/1979","march 5th, 1974"
"1/1/50","8/5/1996"
"08/07/1980","05/30/1987"
"august 16th 1990","9/12/84"
"1-31-1982","03051969"
"20.01.1993","julu 3rd 1993"
"01/02/92","08/04/1990"
"20.01.1993","16/05/1987"
"06/23/79","02/21/1986"
"01/21/1981","6 th june"
"6 may 2000","1/1/91"
"6 may 2000","1st july 1994"
"6/12/1984","jan 2nd, 1990"
"27/12/1986","28 of may 1986"
"12/12/1995","20/11/1995"
"its 2nd of may 1992","march 5 1969"
"cvvfd","1987"
"11101986","july 17, 1983"
"1/1/11","01-09-1976"
"1/1/1980","01 sep 1976"
"1/1/50","january 1 1977"
"7th of july 1984","10/27/96"
"7/8/1992","july 8 1990"
"11101986","25.05.1995"
"22/8/1995","6 may 2000"
"my feet smells very bad","14091990"
"i have had this pain since this weekend!","1/2/1977"
"10/23/74","30/05/1987"
"1994","01-09-1976"
"nov 11 1980","1990"
"15 feb 1996","09/01"
"07/05/1978","23/08/1990"
"bye bye i don't know","1/21/1972"
"04/15/80","bye bye i don't know"
"i have had this pain since this weekend!","july 24 1991"
"05/23/1990","5/16/2007"
"2nd feb 1982","09/01"
"22/8/1995","feb 23 1993"
"bye bye i don't know","30.05.1987"
"01/21/1981","14-09-1990"
"august 16th 1990","10/28/1987"
"15.05.1994","6 th june"
"are you open for business?","06/07/1990"
"05/23/1990","c"
"8/17/93","january 2nd"
"11-01-1997","1995"
"15.05.1994","01/01/01"
"18th september 1988","june 30 1991"
"6/10/1967","1990"
"7/8/1986","23 september 1990"
"1/1/50","1/1/1901"
"14-09-1990","14-sep-1990"
"fiftten five nineti five","12/08/1990"
"09/01/1985","ok"
"august 15 1990","c"
"november 16","4/18/1988"
"01/01/1972","05-23-1992"
"14-09-1990","jan 1 1977"
"8/17/93","09/08/1994"
"04/28/1995","09/01/1985"
"15/08/90","01/01/1965"
"23","5th february 1995"
"15th april 1980","5th february 1995"
"1994","4/10/1993"
"march 15 1979","6/12/1984"
"8/17/93","1/1/91"
"august","1/1/71"
"1/1/1901","02/08/1979"
"august 15 1990","06081984"
"12/12/1995","4/4/1980"
"15/08/90","01/21/1981"
"august 15 1990","xcds"
"1/1/90","14/9/1990"
"15 feb 1996","feb 23 1993"
"8/17/93","20.01.1993"
"bye bye i don't know","12/08/1990"
"20/01/1993","01/05/1988"
"january 2nd","01-09-1976"
"09/08/1994","c"
"1/1/50","1/6/82"
"january 1, 1995","march 31st, 1984"
"can you please help.","11-01-1997"
"05-23-1992","14-09-1990"
"2/4/1979","i have had this pain since this weekend!"
"january 1, 1950","16th of december, 1990"
"12/27/1986","1st january 1986"
"01/01/1965","12/08/1990"
"are you open for business?","7/8/1992"
"bye bye i don't know","xcds"
"23/08/1990","6th may"
"its 2nd of may 1992","26 november"
"10/1/1984","8/5/1996"
"09/01/1985","15/04/1980"
"my feet smells very bad","3569"
"01/01/1965","1995"
"i have had this pain since this weekend!","03/20/1997"
"july 17, 1983","01/05/1988"
"02/21/1986","01-09-1976"
"7/8/1986","15th april 1980"
"feb 23 1993","12/22/1980"
"30/05/1987","10/28/1987"
"3/4/88","30/05/1987"
"8th dec 1988","1st july 1994"
"05231990","11101986"
"26 november","03051969"
"1/6/82","7/8/1992"
"01/23/88","1/1/1980"
"are you open for business?","january 1, 1950"
"july 24 1991","december 17 1959"
"are you open for business?","01/01/1965"
"01/01/1965","30"
"23-9-1995","april 3rd, 1966"
"9/15/1995","01/23/88"
"1/21/1972","jan 1 1977"
"01/23/88","6th may"
"january 1, 1950","14-sep-1990"
"07/dec/1987","02/08/1979"
"6th may 2000","02/08/1979"
"06/07/1990","1/1/71"
"january 1, 1950","1/1/1980"
"january 2nd","1/21/1972"
"7/8/1992","11/09/214"
"11/09/214","14/9/1990"
"23-9-1995","10/28/1987"
"i have had this pain since this weekend!","1/2/1977"
"do you understand what i am saying?","march 14"
"june 30 1991","01.04.1993"
"jan 20 1993","january 1 1977"
