Response One	Response Two	Similarity
16/08/1990	1984/feb	dissimilar
12/22/80	1/5/88	similar
august	1/1/01	dissimilar
20/01/1993	1/6/78	similar
9/11/66	20.01.1993	similar
5/23/90	2nd feb 1982	dissimilar
23/06/1979	16-05-1987	similar
27-05-1995	"march 31st, 1984"	dissimilar
14091990	xxf	dissimilar
28/04/1995	7/5/78	similar
fiftten five nineti five	july 3rd 1993	dissimilar
1-Sep-76	december 17 1959	similar
fiftten five nineti five	25-05-1995	dissimilar
1/28/98	28-Nov-99	dissimilar
august 15 1990	11/09/214	dissimilar
"march 5th, 1974"	16-Nov	dissimilar
1/2/77	25.05.1995	similar
9/11/66	1987	dissimilar
10/27/96	july 24 1991	dissimilar
23/08/1990	1990	dissimilar
1-Jan-95	7/20/92	dissimilar
15/02/96	1/1/71	similar
16/08/1990	4/18/88	similar
are you open for business?	1/9/76	dissimilar
11101986	1-Sep-76	dissimilar
can you please help.	1-Jan-50	dissimilar
30.05.1987	july 8 1990	dissimilar
nov 11 1980	june 4 1994	similar
23/06/1979	1st january 1986	dissimilar
1-Sep-76	1/1/91	dissimilar
1/1/80	25.05.1995	similar
1-Apr-70	1/1/11	dissimilar
5231990	bye bye i don't know	dissimilar
1/1/65	1/9/76	similar
"27, august, 1995"	25.05.1995	dissimilar
6/24/88	1987	dissimilar
1/1/90	1st january 1986	dissimilar
12/1/89	14/9/1990	similar
6081984	march 5 1969	dissimilar
15/08/90	1/1/01	similar
8/23/96	2/13/95	similar
1-Jan-50	july 8 1990	similar
15/08/90	5/8/97	similar
1-Jan-95	1995	dissimilar
my feet smells very bad	7/8/92	dissimilar
7-Dec-87	16-Nov	dissimilar
july 24 1991	jan 1 1977	similar
2/4/79	5/30/87	similar
june 12 1988	august 16th 1990	similar
23-9-1995	july 24 1991	dissimilar
28/04/1995	6/7/90	similar
4/5/92	julu 3rd 1993	dissimilar
my feet smells very bad	"16th of december, 1990"	dissimilar
1/31/82	1994	dissimilar
3/4/88	august 16th 1990	dissimilar
23	1/9/76	dissimilar
16-Nov	1994	dissimilar
10/27/96	"april 12th, 1980"	dissimilar
9/11/66	28-Nov-99	dissimilar
6/12/84	Nov-83	dissimilar
6/23/79	7/5/78	similar
1011990	10/1/97	dissimilar
4/28/95	6/10/67	similar
7-Dec-87	14-09-1990	dissimilar
5231990	8th dec 1988	dissimilar
nov 11 1980	c	dissimilar
august	11101986	dissimilar
bye bye i don't know	26-Nov	dissimilar
march 15 1979	cvvfd	dissimilar
23-9-1995	5/30/87	similar
1st january 1986	1/1/01	dissimilar
3/4/88	feb 23 1993	dissimilar
27-05-1995	6th may	dissimilar
28/04/1995	26-Nov	dissimilar
jan 1 1977	1-Sep-85	similar
1-Jan-90	julu 3rd 1993	dissimilar
1/1/80	1/1/71	similar
january 1st 1990	28 of may 1986	similar
"april 3rd, 1966"	1987	dissimilar
9/1/85	23-9-1995	similar
4/28/95	ok	dissimilar
7/5/78	3/4/88	similar
6/10/67	2/21/86	similar
7/8/92	01.04.1993	similar
4/15/80	15th april 1980	dissimilar
2nd feb 1982	1/1/01	dissimilar
1/28/98	1987	dissimilar
12/22/80	30	dissimilar
5/23/90	1/1/01	similar
20.01.1993	1/1/71	similar
1/1/65	"march 31st, 1984"	dissimilar
feb 19 1963	14-Sep-90	similar
june 4 1994	1995	dissimilar
can you please help.	26/11/1991	dissimilar
13-Mar-77	2/21/86	dissimilar
8/23/96	6-May-00	dissimilar
july 3rd 1993	1/5/88	dissimilar
5/23/92	16-05-1987	similar
25-05-1995	20/11/1995	similar
23/08/1990	1/2/92	similar
15-Feb-96	2/21/86	dissimilar
6 th june	1-Sep-85	dissimilar
1/1/90	5231919	dissimilar
12/12/95	1/2/77	similar
27/12/1986	8/5/96	similar
28/04/1995	1/23/88	similar
9/8/94	xcds	dissimilar
4/5/92	"jan 2nd, 1990"	dissimilar
7-Dec-87	feb 23 1993	similar
august 15 1990	"jan 2nd, 1990"	similar
9/1/85	cvvfd	dissimilar
1-Sep-76	4/18/88	dissimilar
23	16/08/1990	dissimilar
23/06/1979	9/8/94	similar
7-Dec-87	11101986	dissimilar
are you open for business?	6th may 2000	dissimilar
2/4/79	3/4/88	similar
14-Mar	1-Sep	similar
16/08/1990	4/3/85	similar
1/30/75	10/1/97	similar
1/28/98	1-Sep-76	dissimilar
23/08/1990	"april 12th, 1980"	dissimilar
1/23/88	9/1/85	similar
1/1/01	20/11/1995	similar
8/5/96	"april 12th, 1980"	dissimilar
december 17 1959	30	dissimilar
july 24 1991	7/20/92	similar
1/5/88	xxf	dissimilar
8th dec 1988	ok	dissimilar
august 15 1990	"jan 2nd, 1990"	similar
september 5th 1987	4/10/93	dissimilar
5231990	23-Sep-90	dissimilar
c	july 8 1990	dissimilar
9/12/84	july 8 1990	dissimilar
23/06/1979	17-Jul-83	dissimilar
2/4/79	9/11/66	similar
20/01/1993	3051969	dissimilar
1/30/75	c	dissimilar
8/5/96	4/18/88	similar
1987	1/1/91	dissimilar
1/1/80	1st july 1994	dissimilar
4/28/95	22/8/1995	similar
17-Jul-83	01.01.1981	dissimilar
2/4/79	1/1/71	similar
march 15 1979	12/22/80	dissimilar
1/21/72	25-05-1995	similar
can you please help.	3/4/88	dissimilar
feb 19 1963	17-Jul-83	similar
15/02/96	6 th june	dissimilar
6-May-00	1/1/91	dissimilar
6/12/84	1995	dissimilar
1/1/11	1/21/81	similar
8/17/93	9/8/94	similar
5231990	april 1 1970	dissimilar
8/17/93	5/23/90	similar
6/23/79	1-Sep-76	dissimilar
6th may	"march 31st, 1984"	dissimilar
23/08/1990	november 11 1991	dissimilar
15/02/96	9/11/66	similar
7/8/92	xxf	dissimilar
1-Sep	10/23/74	dissimilar
4/3/85	july 8 1990	dissimilar
2/21/86	1/1/80	similar
12/12/95	1990	dissimilar
15/02/96	20/01/1993	similar
1/2/95	feb 23 1993	dissimilar
1/1/50	august 16th 1990	dissimilar
3/20/97	9/12/84	similar
1-Sep	Nov-83	similar
7th of july 1984	1-Sep	dissimilar
15-Feb-96	9/1/85	dissimilar
9/11/66	11101986	dissimilar
"april,1,1993"	2/13/95	dissimilar
1/31/82	7/8/92	similar
june 12 1988	8th dec 1988	similar
14091990	1st july 1994	dissimilar
1-Jan-90	1/1/01	dissimilar
9/12/84	7/20/92	similar
11101986	1/30/75	dissimilar
15/04/1980	june 6 1966	dissimilar
3/20/97	june 4 1994	dissimilar
7/5/78	1/21/81	similar
3/20/97	6081984	dissimilar
1/23/88	5/2/95	similar
6 th june	june 4 1994	dissimilar
i have had this pain since this weekend!	august 16th 1990	dissimilar
22/8/1995	28-Nov-99	dissimilar
1/1/80	7/8/92	similar
can you please help.	16-05-1987	dissimilar
4/5/92	1/1/71	similar
12/12/95	6081984	dissimilar
27-05-1995	4/3/85	similar
september 5th 1987	01.04.1993	dissimilar
ok	3569	dissimilar
15/08/90	august 15 1990	dissimilar
"27, august, 1995"	feb 23 1993	similar
"april 12th, 1980"	3051969	dissimilar
2/4/79	1/2/77	similar
23/06/1979	julu 3rd 1993	dissimilar
4/5/92	1/2/77	similar
23/08/1990	4/10/93	similar
1/23/88	"27, august, 1995"	dissimilar
2/8/79	4/3/85	similar
september 5th 1987	9/12/84	dissimilar
7/5/78	15th april 1980	dissimilar
3/20/97	14091990	dissimilar
1-Jan-90	august 15 1990	similar
its 2nd of may 1992	july 24 1991	similar
cvvfd	xcds	dissimilar
8/7/80	xcds	dissimilar
june 4 1994	1/6/78	dissimilar
"april 3rd, 1966"	4/3/85	dissimilar
bye bye i don't know	3051969	dissimilar
december 17 1959	1/1/01	dissimilar
12/1/89	"march 31st, 1984"	dissimilar
10/1/97	1st july 1994	dissimilar
7/5/78	01.01.1981	similar
12/8/90	30/05/1987	similar
17-Jul-83	1-Sep-85	similar
"april 3rd, 1966"	1984/feb	dissimilar
2/21/86	1990	dissimilar
are you open for business?	27-05-1995	dissimilar
7-Dec-87	june 12 1988	similar
9/12/84	"april,1,1993"	dissimilar
"27, august, 1995"	3/20/97	dissimilar
5/23/90	"april 3rd, 1966"	dissimilar
17-Jul-83	c	dissimilar
july 8 1990	28 of may 1986	similar
january 2nd	july 24 1991	dissimilar
17-Jul-83	10/27/96	dissimilar
"27, august, 1995"	8/7/80	dissimilar
23	december 17 1959	dissimilar
jan 20 1993	april 1 1970	similar
14-Mar	4/18/88	dissimilar
7/5/78	6th may	dissimilar
14/9/1990	june 30 1991	dissimilar
23	14-Sep-90	dissimilar
4/10/93	23-Sep-90	dissimilar
6/24/88	1994	dissimilar
1/21/81	1-Sep-76	dissimilar
26/11/1991	14-Sep-90	dissimilar
28/04/1995	"april 3rd, 1966"	dissimilar
julu 3rd 1993	7/20/92	dissimilar
3/4/88	1995	dissimilar
5/2/95	"16th of december, 1990"	dissimilar
16/08/1990	25-05-1995	similar
1-Sep-76	15th april 1980	similar
bye bye i don't know	5/16/07	dissimilar
6/24/88	9/12/84	similar
15-Feb-96	23/06/1979	dissimilar
1/1/71	20/11/1995	similar
feb 19 1963	1/9/76	dissimilar
23/06/1979	1/2/92	similar
1/1/90	cvvfd	dissimilar
1/30/75	july 8 1990	dissimilar
1-Sep-76	10/23/74	dissimilar
july 3rd 1993	26-Nov	dissimilar
23-9-1995	30/05/1987	similar
1/1/65	26-Nov	dissimilar
10/1/84	2/13/95	similar
1/2/95	3051969	dissimilar
1/1/01	6th may 2000	dissimilar
1-Sep-76	1st july 1994	dissimilar
jan 20 1993	april 1 1970	similar
january 1st 1990	ok	dissimilar
12/1/89	july 3rd 1993	dissimilar
can you please help.	bye bye i don't know	dissimilar
its 2nd of may 1992	cvvfd	dissimilar
27/12/1986	10/1/84	similar
20/01/1993	august 15 1990	dissimilar
ok	16-05-1987	dissimilar
3/22/89	1984/feb	dissimilar
7/5/78	june 4 1994	dissimilar
6th may 2000	Nov-83	dissimilar
1-Sep-76	5/30/87	dissimilar
can you please help.	1/1/80	dissimilar
jan 20 1993	3051969	dissimilar
13-Mar-77	6th may	dissimilar
23/06/1979	10/27/96	similar
1994	december 17 1959	dissimilar
4/5/92	10/1/84	similar
5231990	1987	dissimilar
12/12/95	jan 1 1977	dissimilar
1-Jan-90	3/4/88	dissimilar
1/1/90	6-May-00	dissimilar
28/04/1995	july 24 1991	dissimilar
august	7th of july 1984	dissimilar
12/22/80	28 of may 1986	dissimilar
12/27/86	1-Jan-95	dissimilar
6th may 2000	01.04.1993	dissimilar
5231990	12/8/90	dissimilar
12/1/89	xxf	dissimilar
6/12/84	25.05.1995	similar
1/9/76	5/23/92	similar
julu 3rd 1993	12/8/90	dissimilar
23/06/1979	"march 5th, 1974"	dissimilar
1/1/50	8/5/96	similar
8/7/80	5/30/87	similar
august 16th 1990	9/12/84	dissimilar
1/31/82	3051969	dissimilar
20.01.1993	julu 3rd 1993	dissimilar
1/2/92	8/4/90	similar
20.01.1993	16/05/1987	similar
6/23/79	2/21/86	similar
1/21/81	6 th june	dissimilar
6-May-00	1/1/91	dissimilar
6-May-00	1st july 1994	similar
6/12/84	"jan 2nd, 1990"	dissimilar
27/12/1986	28 of may 1986	dissimilar
12/12/95	20/11/1995	similar
its 2nd of may 1992	march 5 1969	similar
cvvfd	1987	dissimilar
11101986	17-Jul-83	dissimilar
1/1/11	1/9/76	similar
1/1/80	1-Sep-76	dissimilar
1/1/50	january 1 1977	dissimilar
7th of july 1984	10/27/96	dissimilar
7/8/92	july 8 1990	dissimilar
11101986	25.05.1995	dissimilar
22/8/1995	6-May-00	dissimilar
my feet smells very bad	14091990	dissimilar
i have had this pain since this weekend!	1/2/77	dissimilar
10/23/74	30/05/1987	similar
1994	1/9/76	dissimilar
nov 11 1980	1990	dissimilar
15-Feb-96	1-Sep	dissimilar
7/5/78	23/08/1990	similar
bye bye i don't know	1/21/72	dissimilar
4/15/80	bye bye i don't know	dissimilar
i have had this pain since this weekend!	july 24 1991	dissimilar
5/23/90	5/16/07	similar
2nd feb 1982	1-Sep	dissimilar
22/8/1995	feb 23 1993	dissimilar
bye bye i don't know	30.05.1987	dissimilar
1/21/81	14-09-1990	similar
august 16th 1990	10/28/87	dissimilar
15.05.1994	6 th june	dissimilar
are you open for business?	6/7/90	dissimilar
5/23/90	c	dissimilar
8/17/93	january 2nd	dissimilar
11/1/97	1995	dissimilar
15.05.1994	1/1/01	similar
18th september 1988	june 30 1991	similar
6/10/67	1990	dissimilar
7/8/86	23-Sep-90	dissimilar
1/1/50	1/1/01	similar
14-09-1990	14-Sep-90	dissimilar
fiftten five nineti five	12/8/90	dissimilar
9/1/85	ok	dissimilar
august 15 1990	c	dissimilar
16-Nov	4/18/88	dissimilar
1/1/72	5/23/92	similar
14-09-1990	jan 1 1977	dissimilar
8/17/93	9/8/94	similar
4/28/95	9/1/85	similar
15/08/90	1/1/65	similar
23	5th february 1995	dissimilar
15th april 1980	5th february 1995	similar
1994	4/10/93	dissimilar
march 15 1979	6/12/84	dissimilar
8/17/93	1/1/91	similar
august	1/1/71	dissimilar
1/1/01	2/8/79	similar
august 15 1990	6081984	dissimilar
12/12/95	4/4/80	dissimilar
15/08/90	1/21/81	dissimilar
august 15 1990	xcds	dissimilar
1/1/90	14/9/1990	similar
15-Feb-96	feb 23 1993	similar
8/17/93	20.01.1993	similar
bye bye i don't know	12/8/90	dissimilar
20/01/1993	1/5/88	similar
january 2nd	1/9/76	dissimilar
9/8/94	c	dissimilar
1/1/50	1/6/82	similar
1-Jan-95	"march 31st, 1984"	similar
can you please help.	11/1/97	dissimilar
5/23/92	14-09-1990	similar
2/4/79	i have had this pain since this weekend!	dissimilar
1-Jan-50	"16th of december, 1990"	similar
12/27/86	1st january 1986	dissimilar
1/1/65	12/8/90	similar
are you open for business?	7/8/92	dissimilar
bye bye i don't know	xcds	dissimilar
23/08/1990	6th may	dissimilar
its 2nd of may 1992	26-Nov	dissimilar
10/1/84	8/5/96	similar
9/1/85	15/04/1980	similar
my feet smells very bad	3569	dissimilar
1/1/65	1995	dissimilar
i have had this pain since this weekend!	3/20/97	dissimilar
17-Jul-83	1/5/88	dissimilar
2/21/86	1/9/76	similar
7/8/86	15th april 1980	dissimilar
feb 23 1993	12/22/80	dissimilar
30/05/1987	10/28/87	similar
3/4/88	30/05/1987	similar
8th dec 1988	1st july 1994	similar
5231990	11101986	dissimilar
26-Nov	3051969	dissimilar
1/6/82	7/8/92	similar
1/23/88	1/1/80	similar
are you open for business?	1-Jan-50	dissimilar
july 24 1991	december 17 1959	similar
are you open for business?	1/1/65	dissimilar
1/1/65	30	dissimilar
23-9-1995	"april 3rd, 1966"	dissimilar
9/15/95	1/23/88	similar
1/21/72	jan 1 1977	dissimilar
1/23/88	6th may	dissimilar
1-Jan-50	14-Sep-90	similar
7-Dec-87	2/8/79	dissimilar
6th may 2000	2/8/79	dissimilar
6/7/90	1/1/71	similar
1-Jan-50	1/1/80	dissimilar
january 2nd	1/21/72	dissimilar
7/8/92	11/09/214	similar
11/09/214	14/9/1990	dissimilar
23-9-1995	10/28/87	similar
i have had this pain since this weekend!	1/2/77	dissimilar
do you understand what i am saying?	14-Mar	dissimilar
june 30 1991	01.04.1993	dissimilar
jan 20 1993	january 1 1977	similar
